pergunta;resposta
O que significa o nome "Ctenophora"?;comb' e 'portador'
Qual característica define os ctenóforos?;grupos de cílios (pentes)
Qual o tamanho máximo que um ctenóforo pode atingir?;1,5 metros
Qual o tipo de simetria apresentam os ctenóforos?;radial
Qual o principal modo de alimentação dos ctenóforos?;predadores
Onde os ctenóforos são encontrados?;águas marinhas
Qual o período geológico em que surgiram os primeiros fósseis de ctenóforos?;Cambriano
Qual a principal controvérsia sobre a posição filogenética dos ctenóforos?;se são o segundo grupo animal a evoluir
Como os ctenóforos capturam suas presas?;colocelas (células adesivas)
Qual a estrutura que auxilia os ctenóforos na locomoção?;cilia ou "pentes"
