pergunta;resposta
Qual é o símbolo químico do oxigênio?;O
Quantos átomos de oxigênio formam o dióxido de oxigênio?;2
Quem cunhou o nome oxigênio?;Antoine Lavoisier
O oxigênio é classificado como qual tipo de elemento no período?;chalcogênio
Qual porcentagem do ar da Terra é composta por dióxido de oxigênio?;20.95%
Quem isolou o oxigênio antes de 1604?;Michael Sendivogius
O que faz a camada de ozônio na alta altitude para a biosfera?;protege da radiação UV
Qual é uma aplicação comum do oxigênio em processos industriais?;produção de aço
Quem descobriu o oxigênio independentemente em 1774?;Joseph Priestley
O que é necessário para manter o oxigênio na atmosfera da Terra?;fotossíntese
