pergunta;resposta
O que é o sistema imunológico?;Uma rede de processos biológicos que protege um organismo de doenças.
Qual é a função do sistema imunológico inato?;Fornece uma resposta pré-configurada a grupos amplos de estímulos e situações.
O que são defensinas?;Peptídeos antimicrobianos.
Qual é o objetivo da memória imunológica?;Lembrar patógenos para respostas mais eficientes futuras.
Que tipo de doença pode resultar de um sistema imunológico hipercativo?;Doença autoimune.
O que causa a imunodeficiência em humanos?;Genética, condições adquiridas ou medicamentos imunosupressores.
Qual é o nome da doença causada pela falta severa de resposta imunológica combinada?;Imunodeficiência combinada severa.
Quais são os dois principais subsistemas do sistema imunológico em muitas espécies?;Sistema imunológico inato e adaptativo.
O que é a vacinação baseada em?;Processo de imunidade adquirida.
Como o sistema imune distingue patógenos saudáveis dos tecidos do organismo?;Reconhecendo moléculas previamente conhecidas.
