pergunta;resposta
Quantos países membros compõem a União Europeia?;27
Quando foi fundada a União Europeia?;1952
Qual é o objetivo principal da União Europeia?;Promover paz, justiça social e proteção ambiental
Quais tratados formam a estrutura constitucional da União Europeia?;Tratados da União Europeia
Qual é a função do Tribunal de Justiça da União Europeia?;Interpretar leis e criar jurisprudência
Qual foi a primeira comunidade da União Europeia?;Comunidade do Carvão e do Aço
Qual é o objetivo da economia de mercado social da União Europeia?;Emprego pleno e justiça social
Quem interpreta a legislação da União Europeia?;Tribunal de Justiça da União Europeia
Qual é a função da jurisprudência da União Europeia?;Criar direito baseado em casos
Quais são os princípios fundamentais da União Europeia?;Paz, justiça, economia social e proteção ambiental
