pergunta;resposta
- Types: reciprocating engines vs turbines; external combustion.
pergunta;resposta
O que é um motor a vapor?;motor a vapor
Onde o motor a vapor converte energia?;para trabalho mecânico
Quem inventou o primeiro motor comercialmente bem-sucedido?;Thomas Newcomen
Em que ano foi desenvolvido o motor de Thomas Newcomen?;1712
Qual foi a principal melhoria feita por James Watt?;condensação do vapor
Qual ciclo é usado para analisar os motores a vapor?;ciclo Rankine
Como são chamados os motores que usam vapor?;motores a vapor
Quem inventou o primeiro dispositivo蒸汽动力 comercialmente utilizado?;Thomas Savery
Qual foi o impacto das melhorias de Watt?;aumentou a eficiência energética
Em qual século os motores a vapor foram amplamente utilizados?;século XIX
