```csv
subject,predicate,object
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Pharmacy
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/name,"Pharmacy"
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/officialNames,"Pharmacist, Chemist, Doctor of Pharmacy, Druggist, Apothecary or simply Doctor"
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:About
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Citation_needed_span
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Commons
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Div_col
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Div_col_end
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Health_care
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:In_lang
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Lang-grc-gre
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Main
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Medicine
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Pharmacy
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Redirect
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Reflist
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Refn
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Short_description
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Where
http://dbpedia.org/resource/Pharmacy,http://dbpedia.org/ontology/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Wikiversity
http://dbpedia.org/resource/Pharmacy,http://xmlns.com/foaf/0.1/depiction,http://commons.wikimedia.org/wiki/Special:FilePath/332nd_EMSG_Pharmacy_Tech_DVIDS328212.jpg
http://dbpedia.org/resource/Pharmacy,http://xmlns.com/foaf/0.1/depiction,http://commons.wikimedia.org/wiki/Special:FilePath/42-aspetti_di_vita_quotidiana,_medicine,_Taccuino_Sanitatis.jpg
http://dbpedia.org/resource/Pharmacy,http://xmlns.com/foaf/0.1/depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Apotheke_Oesterreich_Logo.svg
http://dbpedia.org/resource/Pharmacy,http://xmlns.com/foaf/0.1/depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Asclepius_staff.svg
http://dbpedia.org/resource/Pharmacy,http://xmlns.com/foaf/0.1/depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Klaukkalan_apteekki.jpg
http://dbpedia.org/resource/Pharmacy,http://xmlns.com/foaf/0.1/depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Medicin_man.jpg
http://dbpedia.org/resource/Pharmacy,http://xmlns.com/foaf/0.1/depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Red_Hanging_Show_Globe2.jpg
http://dbpedia.org/resource/Pharmacy,http://xmlns.com/foaf/0.1/depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Rx_symbol_border.svg
http://dbpedia.org/resource/Vatican_Pharmacy,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Pharmacy
http://dbpedia.org/resource/Vatican_Pharmacy,http://dbpedia.org/ontology/hypernym,http://dbpedia.org/resource/Pharmacy
http://dbpedia.org/resource/Virtual_pharmacy,http://dbpedia.org/ontology/hypernym,http://dbpedia.org/resource/Pharmacy
http://dbpedia.org/resource/New_England_Compounding_Center,http://dbpedia.org/ontology/hypernym,http://dbpedia.org/resource/Pharmacy
http://dbpedia.org/resource/Philidor_Rx_Services,http://dbpedia.org/ontology/hypernym,http://dbpedia.org/resource/Pharmacy
```
