pergunta;resposta  
O que é a desobediência civil?;refusão ativa a leis injustas  
Quem popularizou o termo nos EUA?;Henry David Thoreau  
Qual movimento usou desobediência civil para independência?;movimento indiano de independência  
Qual princípio é essencial à desobediência civil?;resistência não violenta  
Qual líder usou desobediência civil na luta pelos direitos civis?;Martin Luther King Jr.  
Qual evento está associado à greve dos mineros russos de 1998?;desobediência civil  
Quais protestos em 2017 envolveram desobediência civil?;Montenegro  
Qual exemplo de desobediência civil ocorreu na década de 1960?;movimento dos direitos civis  
Quais protestos contra a ocupação britânica usaram desobediência civil?;Revolução Egípcia de 1919  
Qual termo descreve protestos pacíficos?;resistência não violenta
