pergunta;resposta
qual é a principal função da farmácia;descobrir e preparar medicamentos de forma segura
o que liga as ciências de saúde às ciências farmacêuticas e naturais;a farmácia como ciência interdisciplinar
como tem evoluído a prática profissional na farmácia;mais clinicamente orientada
quais são os dois tipos principais de farmácia baseados no ambiente;comunitária ou institucional
qual é um exemplo de atendimento direto ao paciente nas farmácias;farmácia comunitária
o que inclui a prática moderna da farmácia além da preparação de medicamentos;serviços clínicos e revisão de segurança dos medicamentos
quem são os principais profissionais responsáveis pela otimização do uso de medicamentos;farmacêuticos
como é chamado o local onde se pratica a farmácia nos Estados Unidos;pharmacy
o que vendem comumente as drogarias no Canadá e Estados Unidos?;medicamentos e itens diversos como cosméticos e suprimentos de escritório
qual área científica pode ser considerada precursora da química moderna;a apotecária
