pergunta;resposta
First, each pair should be a relevant question related to the context and a correct short answer. The format is "pergunta;resposta" separated by a semicolon. I need to ensure variety in the questions and that the answers are directly inferable from the context.
10. Enzootic vs pandemic: What's the difference between enzootic and pandemic? Enzootic is present in animals; pandemic affects humans.
pergunta;resposta
De onde se originou a morte negra?;Ásia Central,
Como a morte negra chegou ao Mediterrâneo e à Europa?;Via navios mercantes,
Quanto da população europeia matou a morte negra?;30-60%,
O que causou a disseminação após o povoamento terem chegado?;Febre pneumónica,
Quando a população mundial recuperou-se?;Século XVII,
Por quanto tempo a praga persistiu?;Até o século XVIII,
O que a doença enzoótica significa em relação à pandemia?;Enzootia é na fauna, pandemia afeta humanos,
Qual a idade das lápides mencionando a praga?;1338-39,
De onde os cientistas pensam que todas as pragas se originaram?;China,
Quando começou a fome chinesa?;1331,
Quantas vítimas teve esta epidemia na China?;Cerca de 25 milhões.
