pergunta;resposta
Qual é a origem da palavra Geologia?;Antiguo grego
Qual é uma aplicação importante da Geologia?;Exploração de minérios e fontes de energia hidroquímica
O que estuda a Geologia?;Estrutura do planeta Terra no solo e abaixo dele, os processos que moldam essa estrutura
Qual tipo de ciência é Geologia?;Ciência natural
Geologia está relacionada com quais outros ramos da ciência?;Outras ciências terrestres e geossistemas integrais e ciência do planeta
O que ajuda a geólogos a determinar a idade relativa de rochas?;Técnicas de geofísica, análise química, experimentação física e modelagem numérica
Qual é um aspecto central da Geologia?;Análise estrutural do planeta Terra, tanto na superfície quanto abaixo dela, e dos processos que moldam essa estrutura
Quem usa a geologia para obter evidências sobre o passado climático?;Geólogos
Qual é uma aplicação prática da Geologia?;Elaboração de recursos hídricos, avaliação de riscos ambientais, correção de problemas ambientais e compreensão de mudanças climáticas no passado
O que descreve a Geologia?;Estrutura do planeta Terra em sua superfície e abaixo dele, e os processos que moldam essa estrutura
Por que Geologia é importante para a geotecnia?;É central e um papel importante na geotécnica.
