pergunta;resposta
Qual é a definição central da farmácia, de acordo com o texto? ;A farmácia é a ciência e prática de medicamentos, visando segurança e eficácia.;
Quais áreas de conhecimento a farmácia conecta, segundo o texto? ;Farmácia conecta saúde, farmacêutica e ciências naturais.;
Como a prática farmacêutica está evoluindo? ;A prática farmacêutica se torna mais clínica com a manufatura industrial.;
Quais tipos de serviços a farmácia oferece, além da dispensação? ;Inclui revisão de medicamentos, informação e serviços de saúde.;
O que são "drugstores" comuns nos EUA e Canadá? ;Vender medicamentos e outros produtos como doces e revistas.;
Qual a relação histórica da "apothecary" com as ciências modernas? ;Apothecary é precursor de química e farmacologia.;
Em que países os termos "pharmacy" e "chemists" são mais utilizados? ;"Pharmacy" nos EUA e "chemists" na Grã-Bretanha.;
O que é considerado "clinical pharmacy"? ;Fornecer cuidados diretos ao paciente em farmácias.;
Quais são os componentes da amplitude da prática farmacêutica? ;Compõe-se de compounding, dispensação, revisão e informação.;
Quem são os profissionais que otimizam o uso de medicamentos? ;Farmacêuticos são especialistas em terapia medicamentosa.;
O que significa a definição de "pharmacy" no contexto do texto? ;Estabelecimento onde a prática da farmácia é realizada.;
