```csv
subject,predicate,object
Amazon Rainforest,is a,Forest
Amazon Rainforest,is located in,South America
Amazon Rainforest,covers,Amazon basin
Amazon Rainforest,is part of,Amazon biome
Amazon Rainforest,has,Dendrobates azureus (Dendrobates tinctorius)
Amazon Rainforest,has,Ara macao
Amazon Rainforest,has,Parc amazonien de Guyane
Amazon Rainforest,has,Greenhouse Gas by Sector
Amazon Rainforest,has,Fires and Deforestation on the Amazon Frontier, Rondonia, Brazil - August 12, 2007
Amazon Rainforest,has,Emperor Tamarin
Amazon Rainforest,has,Uakari male
Amazon Rainforest,has,Manuel Antonio
Amazon Rainforest,has,Standing jaguar
Amazon Rainforest,has,Ara macao
Amazon Rainforest,has,Parc amazonien de Guyane
Amazon Rainforest,has,Greenhouse Gas by Sector
Amazon Rainforest,has,Fires and Deforestation on the Amazon Frontier, Rondonia, Brazil - August 12, 2007
Amazon Rainforest,has,Emperor Tamarin
Amazon Rainforest,has,Uakari male
Amazon Rainforest,has,Manuel Antonio
Amazon Rainforest,has,Standing jaguar
Amazon Rainforest,is home to,Indian protesters from Vale do Javarí
Amazon Rainforest,is a,Neotropical ecoregion
Amazon Rainforest,is part of,Tropical and subtropical moist broadleaf forests
Amazon Rainforest,contains,Climate change disturbances of rainforests infographic
Amazon Rainforest,is threatened by,Deforestation
Amazon Rainforest,is significant for,Natural history of Brazil
Amazon Rainforest,is important for,Regions of South America
```
