```csv
subject,predicate,object
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/aprSnowDepthCm,"1"
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/augRecordHighC,"38"
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/decMeanC,"-0.1"
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/decRecordHighC,"15.4"
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/febLowC,"-3.3"
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/marRecordHighC,"22.9"
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/mayPrecipitationDays,"12.93"
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/metricFirst,"y"
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/postalCode,"0"
http://dbpedia.org/resource/Warsaw,http://dbpedia.org/ontology/source,"meteomodel.pl"
http://dbpedia.org/resource/Warsaw,http://xmlns.com/foaf/0.1/depiction,"http://commons.wikimedia.org/wiki/Special:FilePath/Warszawa,_Rynek_Nowego_Miasta_2_20170516_001.jpg"
http://dbpedia.org/resource/Warsaw,http://xmlns.com/foaf/0.1/depiction,"http://commons.wikimedia.org/wiki/Special:FilePath/Wilanów_Palace.jpg"
http://dbpedia.org/resource/Teofil_Lenartowicz,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Teresa_Kodelska,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Teresa_Lipowska,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Tomasz_Lipiński,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Wacław_Maciejowski,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Władysław_Krzyżanowski,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Władysław_Szczepaniak,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Xymena_Zaniewska-Chwedczuk,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Zbigniew_Messner,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Zdzisław_Smoliński,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Zofia_Nehringowa,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Zofia_Sadowska,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Zygmunt_Chmielewski,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Zygmunt_Sochan,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Życie_Warszawy,http://dbpedia.org/ontology/publishingCity,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Ryszard_Jurkowski,http://dbpedia.org/ontology/significantProject,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Warsaw_Business_Journal,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Warsaw_Governorate,http://dbpedia.org/ontology/capital,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Warszawa_Wawer_railway_station,http://dbpedia.org/ontology/address,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Wieńczysław_Gliński,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Willy-Brandt-Schule_(Warsaw),http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Wojciech_Jagoda,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw
http://dbpedia.org/resource/Polsat_Comedy_Central_Extra,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/resource/Warsaw
