pergunta;resposta
Quem desenvolveu o conceito de comutação de pacotes?;Paul Baran
Qual foi o objetivo principal do sistema de comutação de pacotes?;fornecer roteamento eficiente e tolerante a falhas
Com o que o conceito de comutação de pacotes se contrasta?;comutação de circuitos
Quem é creditado por popularizar o termo "comutação de pacotes"?;Donald Davies
O que o conceito de comutação de pacotes contradiz?;pré-alocação de largura de banda
Qual é o principal uso da comutação de pacotes?;comunicação de dados em redes
Quem foi o principal financiador do projeto de Baran?;Departamento de Defesa dos Estados Unidos
Qual foi o nome do programa de pesquisa de Baran?;RAND Corporation
O que caracteriza a comutação de pacotes?;transmissão de dados em pacotes independentes
Qual é o principal tipo de rede que utiliza a comutação de pacotes?;redes de computadores
