pergunta;resposta
O que foi o Black Death?;Pandemia de peste bubônica que matou 75–200 milhões de pessoas  
Quando ocorreu o Black Death?;1346 a 1353  
Qual é a causa principal da peste?;Bactéria Yersinia pestis  
Como a peste se espalhava inicialmente?;Por fleas em ratos  
Qual região teve o primeiro surto da peste?;Central ou leste da Ásia  
Como a peste chegou à Europa?;Por ratos nas embarcações genovesas  
Qual foi o impacto na população europeia?;Redução de 30–60%  
Qual forma de peste dominou na Europa?;Pneumônica  
Onde foi descoberta a primeira onda na década de 1330s?;Kyrgyzstan  
O que causou a rápida propagação na Europa?;Espalhamento pessoa a pessoa
