pergunta;resposta
I need to structure each line as pergunta;resposta. Also, ensure the CSV format is correct, with semicolons as separators. Let me double-check each pair for correctness and conciseness. Alright, that should cover all the key points without overlapping information. Now, format them into the CSV as specified.
pergunta;resposta  
Qual o nome comum de Southern California?;SoCal  
Qual a cidade mais populosa da região?;Los Angeles  
Quantos condados compõem a região?;10 condados  
Onde está localizado o Colorado Desert?;Fronteira com Arizona  
Qual rio está na fronteira com Arizona?;Rio Colorado  
Qual condado limita-se com Nevada?;San Bernardino  
Qual é a fronteira sul da região?;Baja California  
Qual o país com o qual a região compartilha fronteira?;México  
Qual é o segundo maior aglomerado urbano dos EUA?;Los Angeles  
Quais condados estão incluídos na região?;Imperial, Kern, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, San Luis Obispo e Ventura
