subject,predicate,object
Geelong Grammar School,location,Victoria (Australia)
Preshil,state,Victoria (Australia)
Old Castlemaine Gaol,location,Victoria (Australia)
Steve Irons,birthPlace,Victoria (Australia)
Tempany Deckert,birthPlace,Victoria (Australia)
Susan Carland,birthPlace,Victoria (Australia)
Thomas Higinbotham,significantProjects,Victoria (Australia)
William Read (Australian politician),birthPlace,Victoria (Australia)
Yarriambiack Creek,subdivisionName,Victoria (Australia)
UniSuper,location,Victoria (Australia)
Vermont Secondary College,state,Victoria (Australia)
Viewbank College,state,Victoria (Australia)
Watts River,subdivisionName,Victoria (Australia)
Weeroona College Bendigo,state,Victoria (Australia)
Yallourn Power Station,location,Victoria (Australia)
R. A. Simpson,birthPlace,Victoria (Australia)
Ralph Willis,birthPlace,Victoria (Australia)
Rod Welsh,birthPlace,Victoria (Australia)
Ron Mueck,birthPlace,Victoria (Australia)
Rory Sloane,birthPlace,Victoria (Australia)
Roulettes,garrison,Victoria (Australia)
Rubicon Hydroelectric Scheme,location,Victoria (Australia)
Russell Gilbert,birthPlace,Victoria (Australia)
Sam Stivey,birthPlace,Victoria (Australia)
Sarah Kemp (actress),birthPlace,Victoria (Australia)
Shane O'Bree,birthPlace,Victoria (Australia)
Snub Pollard,birthPlace,Victoria (Australia)
South Melbourne College,state,Victoria (Australia)
St Hilda's College,Melbourne,location,Victoria (Australia)
St Paul's Anglican Grammar School,location,Victoria (Australia)
Stan Tipiloura,deathPlace,Victoria (Australia)
Stawell Post Office,location,Victoria (Australia)
The Advertiser (Bairnsdale),headquarter,Victoria (Australia)
Thomas White (Australian politician),deathPlace,Victoria (Australia)
Tim Blanchard,birthPlace,Victoria (Australia)
UniSuper,location,Victoria (Australia)
Vermont Secondary College,state,Victoria (Australia)
Victorian Trades Hall Council,headquarters,Victoria (Australia)
Viewbank College,state,Victoria (Australia)
Watts River,subdivisionName,Victoria (Australia)
Weeroona College Bendigo,state,Victoria (Australia)
Yallourn Power Station,location,Victoria (Australia)
