pergunta;resposta
I need to make sure each answer is concise and in Portuguese. Also, the CSV should have a header with "pergunta;resposta" followed by each pair on separate lines.
pergunta;resposta
Qual é a definição de um número primo?;número natural maior que 1
Como se define um número composto?;produto de dois números menores
Por que o número 5 é considerado primo?;fatorado apenas por 1 e ele mesmo
Qual teorema afirma que todo número maior que 1 pode ser fatorado em primos de forma única?;teorema fundamental da aritmética
Qual é o termo para um número que não é primo?;número composto
Como se verifica a primalidade via divisão试?;testando divisores entre 2 e √n
Qual algoritmo probabilisticamente rápido para verificar primalidade?;Miller-Rabin
Qual foi o maior primo conhecido em 2018?;primo de Mersenne com 24,862,048 dígitos
Quem provou que existem infinitos primos?;Euclides
Nomeie duas conjecturas não resolvidas sobre primos.;Conjectura de Goldbach e twin prime
