pergunta;resposta
Qual era o local de sede da British Satellite Broadcasting (BSB)?;Londres
Quando começou a transmissão da BSB?;25 de março de 1990
Com qual empresa a BSB se uniu em 1990?;Sky Television plc
Qual foi o nome do novo grupo formado após a fusão?;British Sky Broadcasting
Qual era a principal atividade da BSB?;Serviço de TV via satélite
No que ano ocorreu a fusão da BSB com a Sky Television?;1990
Quando aconteceu a fusão entre a BSB e a Sky Television?;2 de novembro de 1990
Qual era o objetivo principal da British Satellite Broadcasting?;Fornecer TV via satélite no Reino Unido
Quem estava à frente da BSB quando ela começou a operar?;British Satellite Broadcasting
Onde estava localizada a sede da BSB?;Londres
