pergunta;resposta
Qual é a origem da palavra "Geologia";do grego "terra" e "estudo"
Geologia estuda o que além da Terra;outros objetos astronômicos
Quais ciências se sobrepõem à Geologia;hidrologia e ciências da Terra
O que a Geologia ajuda a determinar sobre as rochas;idades relativas e absolutas
Qual evidência a Geologia fornece;tectônica de placas e evolução da vida
O que os geólogos usam para entender a Terra;trabalho de campo e análise química
Para que a Geologia é importante na prática;exploração de recursos e avaliação de riscos
Qual disciplina acadêmica é central à Geologia;engenharia geológica
O que a Geologia pode revelar sobre o passado;histórias das rochas e clima
Quais corpos planetários os geólogos estudam;planetas terrestres e sólidos
