pergunta;resposta
Qual é o número atômico do oxigênio?;8.
Em qual grupo da tabela periódica está o oxigênio?;calcogênio.
Qual é a composição da atmosfera terrestre em termos de oxigênio?;atualmente, aproximadamente 21%.
Quão abundante é o oxigênio na Terra?;terceiro.
Qual é a forma mais comum do oxigênio na natureza?;dióxido (O2).
Qual é o principal uso do oxigênio na fabricação de metais?;produção de aço.
Quem descobriu o oxigênio?;Joseph Priestley ou Antoine Lavoisier, mas Priestley publicou primeiro.
Em condições normais, como se ligam os átomos de oxigênio?;dois átomos se unem para formar dioxigênio.
Qual é a importância do oxigênio na formação dos organismos vivos?;constitui a maioria da matéria orgânica e é essential para a vida.
Em que forma o oxigênio está representado no dióxido?;O gás diatômico
