Nome da Instituição,Tipo de Instituição,Localização
"Séminaire Saint-Joseph de Trois-Rivières",Private School,"Trois-Rivières, Quebec, Canada"
"The Bateman School",Private School,"Dallas, Texas, USA"
"The Cambridge School of Weston",Private School,"Weston, Massachusetts, USA"
"The National Evangelical School in Nabatieh",Private School,"Nabatieh, Lebanon"
"The Patrick School",Private School,"Redwood City, California, USA"
"The Waldorf School",Private School,"Various locations, USA/Canada/Other countries"
"Trenton Catholic Academy",Private School,"Trenton, New Jersey, USA"
"Trinity Catholic High School (Florida)",Private School,"Maitland, Florida, USA"
"United Synagogue Day School",Private School,"New York City, New York, USA"
"Ursuline High School (Santa Rosa, California)",Private School,"Santa Rosa, California, USA"
"Verde Valley School",Private School,"Clarkdale, Arizona, USA"
"Victoria College, Alexandria",Private School,"Alexandria, Egypt"
"Wesford",Private School,"Johannesburg, South Africa"
"West End Christian School",Private School,"Various locations, USA/Canada"
"Willamette Valley Christian School",Private School,"Eugene, Oregon, USA"
"Zahrat Al-Sahraa International School",Private School,"Cairo, Egypt"
