pergunta;resposta
Okay; I need to generate 10 question-answer pairs in CSV format based on the provided context about prime numbers. Let me start by understanding the context thoroughly. 
"question;answer
O que é um número primo? ;Número natural maior que 1 que não pode ser formado por outros números além de 1 e ele mesmo.
Quais são os números compostos? ;Números que possuem mais de dois divisores.
Qual teorema afirma a fatoração única em números primos? ;Teorema fundamental da aritmética.
Qual é a propriedade de ser um número primo chamada? ;Primalidade.
Quantos dígitos tem o maior primo conhecido (até 2018)? ;24.862.048 dígitos.
Qual é um teste comum para verificar primalidade? ;Divisão por tentativa.
O que Euclides provou sobre os primos? ;Que há infinitos números primos.
Como os primos são usados em criptografia? ;Em criptografia de chave pública."
