pergunta;resposta
Also, the example given has the format "pergunta;resposta" in the CSV. I have to make sure that each line in the CSV is properly formatted with the semicolon separator and that there are no extra characters.
pergunta;resposta  
Imperialismo é definido como...;Expansão territorial ou econômica por estados.  
Qual a diferença entre imperialismo e colonização?;Colonização é uma forma de imperialismo.  
Quais são os dois tipos de poder usados no imperialismo?;Poder duro e poder suave.  
O que caracteriza o imperialismo?;Controle político, econômico ou cultural.  
O que é o poder duro no contexto do imperialismo?;Força militar e econômica.  
O que é o poder suave no imperialismo?;Influência cultural e diplomática.  
Qual o objetivo principal do imperialismo?;Expandir o domínio de um país.  
Como o imperialismo se diferencia de uma monarquia?;Não se limita a regras de reino.  
Quais são as formas de controle no imperialismo?;Territorial, político ou econômico.  
O que é o imperialismo como forma de governança?;Expansão por políticas de poder.
