```csv
pergunta;resposta
Qual a origem étnica dos normandos?;Viking, Franks e Gallo-Romanos.
Em que século os normandos começaram a se formar?;século X
Qual o idioma que os normandos adotaram?;gallo-romance
Qual a importância do Tratado de Saint-Clair-sur-Epte?;legitimou o ducado da Normandia
Quais foram as principais áreas de influência dos normandos?;Europa e Oriente Próximo.
Qual a religião dos normandos?;católica
Quais os idiomas derivados do normando antigo?;Norman, Normaund e Norman French
Qual foi a consequência do Tratado de Paris em 1259?;cessão das reivindicações à Normandia
Qual a relação dos normandos com a Inglaterra?;conquistaram a Inglaterra em 1066
Quais as últimas regiões da Normandia?;Canal (Guernsey e Jersey)
Qual a principal contribuição arquitetônica dos normandos?;românica
```
