pergunta;resposta
Quando começou a Pandemia da Morte Negra?;1346
Como se espalhou a Pandemia da Morte Negra?;principalmente por meio de flechas infectadas do hospedeiro natural das ratazanas negras.
Quais foram as principais causas da disseminação da Pandemia da Morte Negra?;As principais causas foram a falta de conhecimento sobre a doença, o desconhecimento das medidas de higiene e prevenção e a ausência de tratamento médico eficaz.
Quanto tempo durou a Pandemia da Morte Negra?;A pandemia durou cerca de cinco anos, desde 1346 até 1351.
Quantas pessoas morreram durante a Pandemia da Morte Negra?;Estima-se que cerca de 75 a 200 milhões de pessoas morreram durante a pandemia, representando 30% a 60% da população europeia.
Qual era o principal sintoma da forma bubônica da Morte Negra?;O principal sintoma da forma bubônica era a aparição de bubões (gânglios linfáticos inchados), geralmente nos braços, pernas ou pescoço.
Qual o agente causal responsável pela Morte Negra?;O agente causal da Morte Negra é o bacilo Yersinia pestis.
Quais eram as formas principais de transmissão da doença?;As formas principais de transmissão eram a forma bubônica, transmitida por pulgas infectadas de ratazanas negras, e a forma pneumônica, transmitida por gotículas de saliva.
Como a Morte Negra afetou a sociedade europeia?;A Morte Negra causou profundos impactos sociais, políticos e econômicos na Europa, levando a mudanças nas estruturas de trabalho, a um aumento da desigualdade social e à ascensão do poder dos camponeses.
Quais eram as principais medidas adotadas para controlar a propagação da Morte Negra?;As principais medidas incluíam a construção de hospitais dedicados, o isolamento dos doentes e a tentativa de eliminação das ratazanas negras.
Qual foi o impacto da Pandemia da Morte Negra no número de habitantes da Europa?;A pandemia causou uma diminuição drástica no número de habitantes na Europa, levando a um déficit de mão de obra e estimulando mudanças nas estruturas sociais.
