```csv
Subject,Object,Confidence
Rhine,http://dbpedia.org/resource/Rhine,0.99
Rhine,http://dbpedia.org/resource/Netherlands,0.95
Rhine,http://dbpedia.org/resource/France,0.90
Rhine,http://dbpedia.org/resource/Germany,0.85
Rhine,http://dbpedia.org/resource/Switzerland,0.80
Rhine,http://dbpedia.org/resource/Belgium,0.75
Rhine,http://dbpedia.org/resource/Italy,0.70
Rhine,http://dbpedia.org/resource/Europe,0.65
Rhine,http://dbpedia.org/resource/Central_Europe,0.60
Rhine,http://dbpedia.org/resource/Western_Europe,0.55
Rhine,http://dbpedia.org/resource/Europe_and_North_America,0.50
Rhine,http://dbpedia.org/resource/North_Sea,0.45
Rhine,http://dbpedia.org/resource/Atlantic_Ocean,0.40
Rhine,http://dbpedia.org/resource/Europeans,0.35
Rhine,http://dbpedia.org/resource/German_people,0.30
Rhine,http://dbpedia.org/resource/Swiss_people,0.25
Rhine,http://dbpedia.org/resource/Dutch_people,0.20
Rhine,http://dbpedia.org/resource/French_people,0.15
Rhine,http://dbpedia.org/resource/Italian_people,0.10
Rhine,http://dbpedia.org/resource/Belgian_people,0.05
```
