pergunta;resposta
Qual o período da pandemia da Morte Negra?;de 1346 a 1353.  
Qual a causa da Morte Negra?;Yersinia pestis.  
Como a Morte Negra se espalhou pela Europa?;por navios genoveses.  
Qual a origem da Morte Negra?;Ásia Central ou Oriental.  
Quantas pessoas morreram na Morte Negra?;75 a 200 milhões.  
Qual a redução populacional na Europa?;30 a 60% da população.  
Quando a Morte Negra recomeçou?;século XIX.  
Qual a forma de transmissão secundária da praga?;contato pessoa a pessoa.  
Qual o impacto da Morte Negra na Europa?;crises econômica e social.  
Onde foi descoberta uma onda de mortes na década de 1330?;Kyrgyzstan.
