pergunta;resposta
The text also states that globalization reduced global inequality but increased within-nation inequality. So a question about that: "What effect did globalization have on global and within-nation inequality?" Answer: Reduced global; increased within-nation.
pergunta;resposta
Qual é uma medida comum de desigualdade econômica?;Gini coefficient
Quando a desigualdade de renda entre países atingiu seu pico?;1970s
Qual porcentagem de economias avançadas teve aumento na desigualdade?;90%
O que a desigualdade pode impedir?;Crescimento econômico e estabilidade macroeconômica
Qual índice considera a desigualdade?;Índice de Desenvolvimento Humano ajustado à desigualdade
Qual porcentagem do patrimônio global pertence aos 1% mais ricos?;Metade
Qual porcentagem de países teve aumento de mais de 2 pontos no índice de Gini?;70%
Qual é o foco das discussões de políticas econômicas sobre desigualdade?;Central
Qual tipo de problema é a desigualdade econômica?;Problema social
