Pergunta, Pergunta, Pergunta, Somente Fatos;
Formato, CSV;
Id;Valor;
1,"A Victoria possui um recorde de temperatura mais alta em fevereiro (°C)"
2,"48.8"
3,"Qual é o maior lago da Austrália?"
4,"Lake Eppalock, na Colônia de Eppalock, Victoria"
5,"Quais são os quatro estados e territórios que formam a Commonwealth da Austrália?"
6,"Nova Gales do Sul, Queensland, Terrítório da Capricornia, Território da Capital Australiana (Canberra), Território da Margaret River, Território da Northern Territory, Território do Tasmania e Western Australia"
7,"Onde fica a capital da Austrália?"
8,"Território da Capital Australiana (Canberra)"
9,"Qual é o nome do maior sistema de floresta tropical úmida do mundo, localizado na Austrália?"
10,"Floresta Tropical Chique"
11,"Quem foi a primeira pessoa não indígena a pisar em solo australiano?"
12,"Lieutenant-Commander William Edward Bradshaw da Marinha Real Australiana"
13,"Qual é o rio mais longo na Austrália?"
14,"O Rio Murray"
15,"Onde fica a maior cidade da Austrália?"
16,"Sydney, na Nova Gales do Sul"
17,"Quem foi o primeiro europeu em registrar as costas orientais da Austrália no mapa?"
18,"O navegador holandês Willem Janszoon"
19,"Qual é a montanha mais alta da Austrália?"
20,"Mount Kosciuszko, na Colônia de Kosciuszko (Estação de Montanha Kosciuszko), Nova Gales do Sul"
21,"Onde fica o maior reef de coral do mundo?"
22,"O Grande Reef de Coral, localizado na Colônia do Grande Reef (Reef Marine Park)"
23,"Quem foi a primeira pessoa não indígena a chegar à Austrália por mar?"
24,"Capitão James Cook da Marinha Real Britânica"
25,"Qual é o parque nacional mais antigo da Austrália?"
26,"Parque Nacional de Port Arthur, na Tasmânia"
