pergunta;resposta  
Quem fundou o dinastia Yuan?;Kublai Khan  
Em que ano a dinastia Yuan foi estabelecida?;1271  
Qual foi a duração da dinastia Yuan?;1271 a 1368  
Quais foram os títulos de Kublai Khan?;Emperor de China e Great Khan  
Qual foi a batalha decisiva para a conquista da China?;Batalha de Yamen  
Onde estava o domínio do Yuan?;China e áreas adjacentes  
Qual foi o estado que sucedeu o Yuan?;Ming  
Qual foi o título oficial da dinastia?;Great Yuan  
Quem foi considerado o fundador oficial na história chinesa?;Genghis Khan  
Qual foi o nome do edital da proclamação do nome da dinastia?;Proclamation of the Dynastic Name
