pergunta;resposta
First, the user provided an abstract and several triplets of facts about the Yuan dynasty. They also included some example questions and answers in Chinese, which might help me get a sense of the structure they want. The output needs to be in CSV format with each line being "pergunta;resposta". 
Let me structure each line as "pergunta;resposta", using Portuguese for the questions and answers. The responses should be short, up to 10 words.
1. Quem fundou a dinastia Yuan?;Kublai Khan
2. Qual era o nome oficial em chinês?;Grande Yuan
3. Em que ano foi estabelecida?;1271
4. Qual foi a dinastia predecessora?;Song
5. Qual foi a dinastia sucessora?;Ming
6. Onde estava localizada a capital?;Shangdu
7. Quem era o avô de Kublai Khan?;Genghis Khan
8. Qual foi o estado sucessionário após 1368?;Estado do Norte dos Yuan
9. Qual moeda foi usada?;Notas de papel
10.Qual batalha marcou o fim da dinastia?;Batalha de Yamen
pergunta;resposta
Quem fundou a dinastia Yuan?;Kublai Khan
Qual era o nome oficial em chinês?;Grande Yuan
Em que ano foi estabelecida?;1271
Qual foi a dinastia predecessora?;Song
Qual foi a dinastia sucessora?;Ming
Onde estava localizada a capital?;Shangdu
Quem era o avô de Kublai Khan?;Genghis Khan
Qual foi o estado sucessionário após 1368?;Estado do Norte dos Yuan
Qual moeda foi usada?;Notas de papel
Qual batalha marcou o fim da dinastia?;Batalha de Yamen
