pergunta;resposta
Rory Sloane nasceu em Victoria;(Australia)
Mitch Brown (footballer) nasceu em Victoria;(Australia)
Arthur Fenton (cricketer) nasceu em Victoria;(Australia)
Nunawading Spectres está localizado em Victoria;(Australia)
Hugh Francis Brophy morreu em Victoria;(Australia)
H. A. Willis nasceu em Victoria;(Australia)
Nagle College está localizado em Victoria;(Australia)
Ralph Willis nasceu em Victoria;(Australia)
Sam Stivey nasceu em Victoria;(Australia)
Ashton Agar nasceu em Victoria;(Australia)
Stan Tipiloura morreu em Victoria;(Australia)
Edith Helen Barrett morreu em Victoria;(Australia)
Frank Curcio nasceu em Victoria;(Australia)
Rod Welsh nasceu em Victoria;(Australia)
Ada River tem nome de subdivisão Victoria;(Australia)
Mount Franklin (Victoria) está localizado em Victoria;(Australia)
Cyril Callister nasceu em Victoria;(Australia)
Bruce Doull nasceu em Victoria;(Australia)
Ford L series possui assembleia Victoria;(Australia)
Banksia Latrobe Secondary College é um estado de Victoria;(Australia)
Avni Sali nasceu em Victoria;(Australia)
Kulinic languages pertence à região Victoria;(Australia)
Alpine (band) tem cidade de origem Victoria;(Australia)
George Frederic Verdon morreu em Victoria;(Australia)
Bulgarian Australians possui local com população significativa Victoria;(Australia)
Bank of Australasia Headquarters está localizado no município Victoria;(Australia)
Football Survey está localizado em Victoria;(Australia)
Susan Carland nasceu em Victoria;(Australia)
John Burrows (politician) nasceu em Victoria;(Australia)
2008 Winton round of the V8 Supercar Championship está localizado em Victoria;(Australia)
Russell Gilbert nasceu em Victoria;(Australia)
68th World Science Fiction Convention está localizado em Victoria;(Australia)
Ben King (footballer) nasceu em Victoria;(Australia)
Greater Shepparton Secondary College é um estado de Victoria;(Australia)
Napthine Ministry http://dbpedia.org/property/jurisdiction Victoria;(Australia)
Sarah Kemp (actress) nasceu em Victoria;(Australia)
Watts River tem nome de subdivisão Victoria;(Australia)
Mount Disappointment (Australia) está localizado na área Victoria;( Australia)
Museum of Australian Democracy at Eureka está localizado em Victoria;(Australia)
Carmen Callil nasceu em Victoria;(Australia)
Phyllis Piddington nasceu em Victoria;(Australia)
James Ezard nasceu em Victoria;(Australia)
Roulettes possui guarnição Victoria;( Australia)
Marnie Bassett nasceu em Victoria;( Australia)
Jason De Ron tem cidade de origem Victoria;( Australia)
Madeleine Taylor (basketball) nasceu em Victoria;( Australia)
Conway Savage morreu em Victoria;( Australia)
Vermont Secondary College é um estado de Victoria;( Australia)
William Read (Australian politician) nasceu em Victoria;( Australia)
R. A. Simpson nasceu em Victoria;( Australia)
The Advertiser (Bairnsdale) tem sede principal em Victoria;( Australia)
2016 Men's Australian Country Championships http://dbpedia.org/property/team Victoria;( Australia)
Kayne Pettifer nasceu em Victoria;( Australia)
Yarriambiack Creek tem nome de subdivisão Victoria;( Australia)
Stawell Post Office está localizado em Victoria;( Australia)
Yallourn Power Station está localizado em Victoria;( Australia)
Gilbert Walker (cricketer) morreu em Victoria;( Australia)
Andrew MacLeod nasceu em Victoria;( Australia)
Steve Irons nasceu em Victoria;( Australia)
Thomas White (Australian politician) morreu em Victoria;( Australia)
Thomas Higinbotham possui projetos significativos Victoria;( Australia)
John Goss (racing driver) nasceu em Victoria;( Australia)
Footscray City Films é um estado de Victoria;( Australia)
Koonung Secondary College é um estado de Victoria;( Australia)
National Alpine Museum of Australia está localizado em Victoria;( Australia)
Chloe McConville nasceu em Victoria;( Australia)
Institute of Lens Arts Australia é um estado de Victoria;( Australia)
Doherty Institute é um estado de Victoria;( Australia)
Weeroona College Bendigo é um estado de Victoria;( Australia)
Viewbank College é um estado de Victoria;( Australia)
Nick Dal Santo nasceu em Victoria;( Australia)
Rupert Atkinson (poet) nasceu em Victoria;( Australia)
Ron Mueck nasceu em Victoria;( Australia)
Centre for Adult Education está localizado em Victoria;( Australia)
Fairhills High School é um estado de Victoria;( Australia)
Dolodrook River tem nome de subdivisão Victoria;( Australia)
La Trobe's Cottage está localizado em Victoria;( Australia)
Geelong Advertiser possui sede Victoria;( Australia)
Mernda railway line Possui localidade Victoria;( Australia)
Terry Norris (actor) nasceu em Victoria;( Australia)
Law Institute of Victoria atua na região Victoria;( Australia)
Tempany Deckert nasceu em Victoria;( Australia)
Frank Holohan Soccer Complex está localizado em Victoria;( Australia)
Altona East Phoenix SC tem como sede física Victoria;( Australia)
Rubicon Hydroelectric Scheme Rubicon Falls Power Station 1 está localizado em Victoria;( Australia)
Mount St. Joseph Girls' College é um estado de Victoria;( Australia)
South Melbourne College é um estado de Victoria;( Australia)
Shane O'Bree nasceu em Victoria;( Australia)
Brian Gibson (politician) nasceu em Victoria;( Australia)
Percy Ellingsen nasceu em Victoria;( Australia)
PS Pevensey possui porto de origem Victoria;( Australia)
Gordon Moyes nasceu em Victoria;( Australia)
Kath & Kim está localizado em Victoria;( Australia)
Dan Lepard nasceu em Victoria;( Australia)
