Institution,Attribute,Value
University of Chicago,Number of Students,18452
University of Chicago,USNWR National University Rank,6
University of Chicago,USNWR World University Rank,15
Phi Beta Delta (fraternity),School,University of Chicago
Warder Clyde Allee,Work Institutions,University of Chicago
Biddy Martin,Alma Mater,University of Chicago
Walter Licht,Alma Mater,University of Chicago
Ted Nelson,Alma Mater,University of Chicago
Stanley Reiter,Alma Mater,University of Chicago
Seymour Berkson,Education,University of Chicago
Rick Perlstein,Education,University of Chicago
Robert Bork,Education,University of Chicago
Phi Beta Delta (fraternity),School,University of Chicago
Phi Beta Delta (fraternity),Founded,1947
Patrick Larkin (novelist),Alma Mater,University of Chicago
Paul Ekman,Alma Mater,University of Chicago
Oliver McGee,Alma Mater,University of Chicago
Nicholas Lemann,Education,University of Chicago
Michael Walzer,Education,University of Chicago
Vikram Akula,Alma Mater,University of Chicago
Vardis Fisher,Alma Mater,University of Chicago
William P. Bidelman,Alma Mater,University of Chicago
Zev Braun,Education,University of Chicago
İlber Ortaylı,Alma Mater,University of Chicago
Phi Beta Delta (fraternity),Status,Active
Warder Clyde Allee,Work Institutions,University of Chicago
Biddy Martin,Alma Mater,University of Chicago
Walter Licht,Alma Mater,University of Chicago
Ted Nelson,Alma Mater,University of Chicago
Stanley Reiter,Alma Mater,University of Chicago
Seymour Berkson,Education,University of Chicago
Rick Perlstein,Education,University of Chicago
Robert Bork,Education,University of Chicago
Phi Beta Delta (fraternity),School,University of Chicago
Phi Beta Delta (fraternity),Founded,1947
Patrick Larkin (novelist),Alma Mater,University of Chicago
Paul Ekman,Alma Mater,University of Chicago
Oliver McGee,Alma Mater,University of Chicago
Nicholas Lemann,Education,University of Chicago
Michael Walzer,Education,University of Chicago
Vikram Akula,Alma Mater,University of Chicago
Vardis Fisher,Alma Mater,University of Chicago
William P. Bidelman,Alma Mater,University of Chicago
Zev Braun,Education,University of Chicago
İlber Ortaylı,Alma Mater,University of Chicago
