pergunta;resposta
Qual foi a causa principal da Peste Negra?;bactéria Yersinia pestis
Quantas pessoas estimativamente morreram devido à Peste Negra?;75–200 milhões
A Peste Negra ocorreu em que período histórico?;Idade Média Tardia
Qual é o nome da forma secundária da peste bubônica que se espalha pelo contato humano?;Pneumônica
Como a peste atingiu a Europa a partir do Crimeia?;Navios genoveses
Qual foi o efeito demográfico geral na Europa após a Peste Negra?;Diminuição de 30% a 60% da população
A Peste Negra também é conhecida por quais outros nomes?;Pestilência, Grande Morte
Como a peste negra afetou a economia medieval europeia?;Criação de perturbações econômicas
Qual foi o impacto religioso da peste no período medieval?;Gerou crise espiritual e conflito
Quando ocorreram os primeiros surtos da Peste Negra na Ásia Central ou Oriental?;Fim dos anos 1330
