pergunta;resposta
De onde o Reno começa?;Cantão de Graubünden, na Suíça,
Qual é a maior cidade que o Reno atravessa?;"Colônia", Alemanha
Quanto tempo dura o Reno?;1.230 km (760 milhas)
Onde fica o Reno?;Europa
Que país o Reno esvazia?;Suíça
Qual rio é maior que o Reno?;Danúbio
Quais são os dois estados alemães nomeados após o Reno?;North Rhine-Westphalia e Rhineland-Palatinate
Onde o Reno forma parte da fronteira entre a Suíça e a Alemanha?;Fronteira suíço-alemã
O Reno é um importante rio navegável na Europa?;"Sim"
Qual é o significado etimológico do nome 'Reno'?;Deriva do gaulês "Rēnos"
