```csv
subject,predicate,object
http://dbpedia.org/resource/Fresno,_California,http://schema.org/City,true
http://dbpedia.org/resource/Fresno,_California,http://dbpedia.org/class/yago/Area108497294,true
http://dbpedia.org/resource/Fresno,_California,ns4:areaTotal,"300.438620798976"
http://dbpedia.org/resource/Fresno,_California,ns2:areaLand,"297304700.0"
http://dbpedia.org/resource/Fresno,_California,ns2:areaWater,"3133886.0"
http://dbpedia.org/resource/Fresno,_California,ns2:foundingDate,"1885-10-21"
http://dbpedia.org/resource/Fresno,_California,ns2:governmentType,http://dbpedia.org/resource/Strong_Mayor
http://dbpedia.org/resource/Fresno,_California,ns2:politicalLeader,http://dbpedia.org/resource/Fresno,_California__PoliticalFunction__1
http://dbpedia.org/resource/Fresno,_California,ns2:populationTotalRanking,"34"
http://dbpedia.org/resource/Fresno,_California,ns2:subdivision,http://dbpedia.org/resource/California
http://dbpedia.org/resource/Fresno,_California,ns1:areaTotalKm,"300.43"
http://dbpedia.org/resource/Fresno,_California,ns1:areaWaterSqMi,"1.21"
http://dbpedia.org/resource/Fresno,_California,ns1:name,"Fresno, California"
http://dbpedia.org/resource/Fresno,_California,ns1:populationRank,"34"
http://dbpedia.org/resource/Fresno,_California,ns1:subdivisionType,http://dbpedia.org/resource/List_of_counties_in_California
http://dbpedia.org/resource/Fresno,_California,ns1:subdivisionType,http://dbpedia.org/resource/List_of_sovereign_states
http://dbpedia.org/resource/Fresno,_California,ns1:utcOffset,"480.0"
http://dbpedia.org/resource/Fresno,_California,ns1:wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Fresno
http://dbpedia.org/resource/Fresno,_California,ns1:wikiPageUsesTemplate,http://dbpedia.org/resource/Template:GNIS_4
http://dbpedia.org/resource/Fresno,_California,ns1:wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Infobox_settlement
http://dbpedia.org/resource/Fresno,_California,ns1:wikiPageUsesTemplate,http://dbpedia.org/resource/Template:San_Joaquin_Valley
http://dbpedia.org/resource/Fresno,_California,ns1:wikiPageUsesTemplate,http://dbpedia.org/resource/Template:USPopulousCities
http://dbpedia.org/resource/Fresno,_California,ns3:point,"36.75 -119.76666666666667"
http://dbpedia.org/resource/Fresno,_California,foaf:depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Downtown_Fresno_in_1964_(cropped).jpg
http://dbpedia.org/resource/Fresno,_California,foaf:depiction,http://commons.wikimedia.org/wiki/Special:FilePath/FresnoRainforest.jpg
http://dbpedia.org/resource/Fresno,_California,foaf:depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Fresno_County_California_Incorporated_and_Unincorporated_areas_Fresno_Highlighted_0627000.svg
http://dbpedia.org/resource/Fresno,_California,foaf:depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Race_and_ethnicity_2010-_Fresno_(5559881135).png
http://dbpedia.org/resource/Fresno,_California,foaf:depiction,http://commons.wikimedia.org/wiki/Special:FilePath/Tower_Theater_(cropped).jpg
```
