pergunta;resposta
Quando foi fundada a Harvard University?;1636
Qual é o nome do primeiro benefactor da universidade?;John Harvard
Quantas faculdades tem a Harvard University?;10
Em qual localização está o campus principal de Cambridge?;Cambridge, Massachusetts
 Qual é a denominação do campus em Boston?;Allston neighborhood
O endowment da Harvard é quanto?;$50.9 bilhões
Qual foi a função do Harvard College no século XVIII?;Formar ministros Congregacionais
Quando a Harvard se tornou uma universidade de pesquisa?;Século XIX, durante o tempo de Charles William Eliot
Qual organização foi fundada pela Harvard em 1900?;Associação das Universidades Americanas
Quanto alunos beneficiários tem a Harvard?;Considera finanças necessárias
