```csv
subject,predicate,object
"U.S. Route 1 in Florida","routeJunction","Jacksonville, Florida"
"U.S. Route 23 in Florida","routeStart","Jacksonville, Florida"
"Interstate 95 in Florida","link","Jacksonville, Florida"
"WCRJ","broadcastArea","Jacksonville, Florida"
"WJCT (TV)","location","Jacksonville, Florida"
"WJXT","location","Jacksonville, Florida"
"Seaboard System Railroad","headquarter","Jacksonville, Florida"
"PSS World Medical","location","Jacksonville, Florida"
"NOAAS Discoverer (R 102)","builder","Jacksonville, Florida"
"RV Gloria Michelle","builder","Jacksonville, Florida"
"SS Morris C. Feinestone","builder","Jacksonville, Florida"
"SS Thomas L. Haley","builder","Jacksonville, Florida"
"SS Thomas Sully","builder","Jacksonville, Florida"
"Kingsley Plantation","nearestCity","Jacksonville, Florida"
"Yellow Bluff Fort Historic State Park","nearestCity","Jacksonville, Florida"
"Skyliner (band)","hometown","Jacksonville, Florida"
"Main Street Bridge (Jacksonville)","locatedInArea","Jacksonville, Florida"
"San Jose Episcopal Church","location","Jacksonville, Florida"
"South Atlantic Investment Corporation Building","location","Jacksonville, Florida"
"KBJ Architects","location","Jacksonville, Florida"
"Patricia Altschul","birthPlace","Jacksonville, Florida"
"Silas Daniels","birthPlace","Jacksonville, Florida"
"Sam Rivers (bassist)","birthPlace","Jacksonville, Florida"
"Warren Leroy Jones","deathPlace","Jacksonville, Florida"
"William James Wallace","deathPlace","Jacksonville, Florida"
"Marcial Maciel","deathPlace","Jacksonville, Florida"
"Michael Jennings (American football)","birthPlace","Jacksonville, Florida"
"Maurice M. Paul","birthPlace","Jacksonville, Florida"
"Marvin Ross","birthPlace","Jacksonville, Florida"
"Myjai Sanders","birthPlace","Jacksonville, Florida"
"Josh Phillips (murderer)","locations","Jacksonville, Florida"
"John Theus","birthPlace","Jacksonville, Florida"
"Keith Fitzhugh","birthPlace","Jacksonville, Florida"
"Terry L. Fields","birthPlace","Jacksonville, Florida"
"Tom Petway","birthPlace","Jacksonville, Florida"
"Reggie Fullwood","birthPlace","Jacksonville, Florida"
"Rick Tillis","birthPlace","Jacksonville, Florida"
"Randy Gregory","birthPlace","Jacksonville, Florida"
"Ottis Toole","birthPlace","Jacksonville, Florida"
"Nate Campbell","birthPlace","Jacksonville, Florida"
"Sterling Hofrichter","birthPlace","Jacksonville, Florida"
"List of Delta Sigma Theta chapters","location","Jacksonville, Florida"
"WBOB (AM)","city","Jacksonville, Florida"
"St. Johns River","mouthLocation","Jacksonville, Florida"
"Jacksonville, Florida","namedAfter","Andrew Jackson"
"Jacksonville, Florida","areaWater","329350000.0"
"Jacksonville, Florida","timeZone","Eastern Time Zone"
"Jacksonville, Florida","nickname","\"Jax\", \"The River City\", The Bold New City of the South"
"Jacksonville, Florida","junRecordLowF","47"
"Jacksonville, Florida","marRecordHighF","91"
"Jacksonville, Florida","novPrecipitationInch","2"
"Jacksonville, Florida","sepPercentsun","62"
"Jacksonville, Florida","wikiPageUsesTemplate","Template:City of Jacksonville"
"Jacksonville, Florida","wikiPageUsesTemplate","Template:Convert"
"Jacksonville, Florida","wikiPageUsesTemplate","Template:Florida county seats"
"Jacksonville, Florida","wikiPageUsesTemplate","Template:North Florida"
"Jacksonville, Florida","a","WikicatPopulatedPlacesInDuvalCounty,Florida"
```
