pergunta;resposta
Qual a capital da Polônia?;Varsóvia
Em qual rio a cidade de Varsóvia está situada?;Vístula
Qual a população estimada da área metropolitana de Varsóvia?;3.1 milhões
Em que século Varsóvia se tornou a capital da Polônia?;Século XVI
Qual evento causou grande destruição em Varsóvia durante a Segunda Guerra Mundial?;Levante de Varsóvia
Quantos distritos compõem a cidade de Varsóvia?;18
Qual o nome do aeroporto mais movimentado de Varsóvia?;Chopin
Qual a importância da Bolsa de Valores de Varsóvia na Europa Central e Oriental?;Maior e mais importante
Qual patrimônio da UNESCO se encontra na cidade de Varsóvia?;Cidade Velha Reconstruída
Qual clube de futebol é conhecido como o principal de Varsóvia?;Legia Varsóvia
