```csv
O que protege os organismos contra doenças?;sistema imunológico.
Quais são as duas principais sub-sistemas do sistema imunológico?;sistema imunológico inato e adaptativo.
Qual é o termo para um sistema imunológico hiperativo atacando seus próprios tecidos normais?;autoimunidade.
O que acontece quando o sistema imunológico não funciona corretamente, causando doenças inflamatórias ou cancerígenas?;dopamina do sistema imunológico.
Que tipo de células é parte do sistema imunológico e fazem parte da resposta inata a infecções?;macrófagos.
O que o sistema imunológico faz em relação à memória de patógenos anteriormente encontrados?;cria uma memória imunológica.
Quais são os dois principais tipos de células envolvidas na resposta adaptativa do sistema imunológico?;linfócitos B e T.
Qual é o termo para um problema em que o sistema imunológico está menos ativo, levando a infecções recorrentes graves?;imunodeficiência.
O que o sistema inato faz como parte do processo de resposta ao reconhecer ameaças?;fornece uma resposta pré-configurada.
Qual célula do sistema imunológico é conhecida por matar células cancerígenas e vírus infectados sem sinais prévios específicos?;célula natural killer.
```
