pergunta;resposta
Quantos condados geralmente contém a Califórnia do Sul?;Dez
Qual é a segunda maior aglomeração urbana dos Estados Unidos localizada na Califórnia do Sul?;Los Angeles
Qual é a fronteira oriental da Califórnia do Sul?;Arizona
Qual é a fronteira sul da Califórnia do Sul?;México
Qual é o nome de uma imagem representativa da Califórnia do Sul?;San Diego skyline noturno
Qual é o nome de um rio localizado na fronteira leste da Califórnia do Sul?;Rio Colorado
Qual é o nome de um condado na Califórnia do Sul?;Los Angeles
Qual é um fato sobre o Rancho Guajome Adobe?;Está localizado na Califórnia do Sul
Qual é um fato sobre Jordan Ifueko?;Nasceu na Califórnia do Sul
Qual é um fato sobre a cidade de Los Angeles?;Tem nome de subdivisão da Califórnia do Sul
