pergunta;resposta
Let me structure each line in the CSV with "pergunta;resposta" format, ensuring proper Portuguese and correct information.
pergunta;resposta
Quando foi estabelecido o Parlamento da Escócia?;1999
Quantos membros compõem o Parlamento da Escócia?;129
Qual é o sistema de eleição dos MSPs?;Sistema misto adicional
Quando ocorreu a última eleição para o Parlamento da Escócia?;6 de maio de 2021
Qual partido governa atualmente a Escócia?;Partido Nacionalista Escocês
De qual tipo é o Parlamento da Escócia?;Unicameral
Quais poderes estão reservados ao Parlamento do Reino Unido?;Legislar sobre assuntos não delegados
Qual é o nome da câmara de debates?;Câmara de Debatidos do Parlamento Escocês
O Parlamento da Escócia tem poder legislativo sobre impostos?;Sim
