```csv
pergunta;resposta
Qual é a cidade mais populosa do estado da Flórida?;Jacksonville
Em que ano Jacksonville e o Condado de Duval consolidaram seus governos?;1968
Qual rio passa por Jacksonville?;St. Johns River
Quem recebeu o nome da cidade de Jacksonville?;Andrew Jackson
Qual foi o propósito original do assentamento francês em Jacksonville?;Fort Caroline
Qual é o apelido da cidade de Jacksonville?;The River City
Qual é a principal atividade econômica relacionada ao turismo em Jacksonville?;Golfe
Qual é a proximidade de Jacksonville à fronteira com a Geórgia?;Aproximadamente 18 km
Qual era a denominação dos habitantes originais da área de Jacksonville?;Timucua
Qual é a função do Naval Station Mayport, próximo a Jacksonville?;Base naval
```
