pergunta;resposta
The industry contributes to GDP; the context mentions $11 trillion annually, which is 13% of global GDP. Also, a forecast for 2030 at around $14.8 trillion could be another question. 
pergunta;resposta
Qual é a origem da palavra "construção"?;Do latim constructio e do francês antigo construction
O que inclui a indústria da construção?;Edifícios, infraestrutura e instalações industriais
Qual é a contribuição da construção para o PIB global?;13% do PIB mundial
Quanto foi gasto na indústria de construção em 2012?;$4 trilhões
Qual é a previsão de gastos globais em construção para 2030?;$14,8 trilhões
Quais são os benefícios não monetários da construção?;Desenvolvimento econômico e outros benefícios sociais
Qual foi a porcentagem de fatalidades no setor de construção nos EUA em 2019?;20%
Em qual ano o gasto global na construção foi de US$4 trilhões?;2012
Como a construção encerra a vida útil de um ativo?;Demolição, desmontagem ou descomissionamento
Qual é a importância da indústria de construção para os PIBs globais?;Ela contribui significativamente para muitos países
