```
Que estado no sul do Australia tem a maior economia?;Diversificada:
Em que localização está a sede da National Alpine Museum of Australia?;Victoria
Onde estão os jogos de futebol em Melbourne?;Port Phillip Bay
Quantas pessoas residem na capital esportiva de Victoria?;Mais de 300 mil
Qual é o maior estádio do país?;. 
Em que localização fica a sede da RIA Australia?;Victoria
Que cidade nasceu o autor inglês Rupert Atkinson?;Victoria (Australia)
Onde estão os estúdios de filmagem Footscray City Films?;Victoria
Onde está situado o National Alpine Museum of Australia?;Victoria
Em que local é o primeiro campeonato da Austrália de futebol masculino na temporada 2010?;Victoria (Australia)
Onde fica a sede do Logie Awards de 2010?;Victoria
```
