pergunta;resposta
Okay; I need to create a CSV based on the given instructions and the provided data. Let me start by understanding the requirements.
The "Kublai Khan" entry mentions his death place; which is the Yuan Dynasty. The "Kublai_Khan" node has a deathPlace attribute pointing to the Yuan Dynasty. 
The "Yuan Dynasty" node also has a "s" property with "Ming dynasty" and "Phagmodrupa dynasty" as successors; but the main successor is the Ming Dynasty. 
Now; I need to structure the CSV entries. The example given has entries like:
6. Key events: Enthronement of Genghis Emperor (from "eventPre"); Fall of Khanbaliq (from "eventEnd")
Now; I need to formulate questions and answers based on these points. Let's start:
I think that's all. Now; I'll structure the CSV with these entries.
When was the Yuan Dynasty established?;"The Yuan Dynasty was established in 1271."  
Who was the leader of the Yuan Dynasty?;"The leader of the Yuan Dynasty was Kublai Khan."  
What was the capital of the Yuan Dynasty?;"The capital of the Yuan Dynasty was Shangdu."  
Which dynasty succeeded the Yuan Dynasty?;"The Ming Dynasty succeeded the Yuan Dynasty."  
What was the duration of the Yuan Dynasty?;"The Yuan Dynasty lasted from 1271 to 1368."  
What were the key languages used during the Yuan Dynasty?;"The Yuan Dynasty used Chinese and Middle Mongol as primary languages."  
What was the currency used during the Yuan Dynasty?;"Predominantly paper currency with a small amount of Chinese cash in use."  
What was a significant event in the early years of the Yuan Dynasty?;"The Enthronement of Genghis Emperor marked a key event in the early years."  
What was the end of the Yuan Dynasty marked by?;"The Fall of Khanbaliq marked the end of the Yuan Dynasty."  
What is the Chinese name for the Yuan Dynasty?;"The Chinese name for the Yuan Dynasty is Nyœ́ záu (or Yuáncháo)."  
