```
pergunta;resposta
Quando começou a crise do petróleo de 1973?;outubro de 1973
Qual foi o preço do petróleo em março de 1974?;quase US $ 12
Quem proclamou o embargo do petróleo?;membros da Organização dos Países Exportadores de Petróleo Árabes
Por que as nações europeias e o Japão foram alvo do embargo?;por apoiarem Israel
Qual foi outro termo usado para a crise do petróleo?;primeiro choque do petróleo
Quando os produtores de petróleo árabes levantaram o embargo?;março de 1974
Quantas vezes aumentou o preço do petróleo durante a crise?;quase 300%
Qual foi um dos efeitos da crise no mercado global?;aumento da inflação
Em qual ano ocorreu a segunda crise do petróleo?;1979
Como é chamada a entidade que liderou o embargo?;Organização dos Países Exportadores de Petróleo Árabes
```
