pergunta;resposta
Qual é a principal função do sistema imunológico?;protege organismos contra doenças.
Quais são os dois principais subsistemas do sistema imunológico?;imunidade inata e adaptativa.
Quais células participam da imunidade adaptativa?;T cells e B cells.
O que ocorre quando o sistema imunológico ativa-se contra tecidos normais?;autoimunidade.
Qual termo descreve um sistema imunológico enfraquecido que causa infecções recorrentes?;imunodeficiência.
Qual processo permite ao sistema imunológico lembrar infecções passadas?;memória imunológica.
Qual componente do sistema imunológico detecta e destrói células cancerígenas?;sistema imunológico adaptativo.
Qual é o papel da fagocitose no sistema imunológico?;engolir e destruir patógenos.
Qual é a causa da artrite reumatoide?;autoimunidade.
Qual é a função do sistema complementar na resposta imunológica?;auxilia na destruição de patógenos.
