pergunta;resposta
Now, I need to ensure the answers are short, up to 10 words. For example, the answer to the symbol and atomic number would be "O;8". I'll check each answer to make sure they're accurate and not too long.
pergunta;resposta
A qual grupo da tabela periódica o oxigênio pertence?;calcogênio
Qual a porcentagem de oxigênio na atmosfera terrestre?;20,95%
O oxigênio é renovado na atmosfera por meio de qual processo?;fotossíntese
Qual a principal forma do oxigênio na crosta terrestre?;óxidos
Quem deu o nome "oxigênio" ao elemento?;Antoine Lavoisier
Qual a função do ozônio na camada superior da atmosfera?;absorver radiação UVB
Quem descobriu o oxigênio primeiro, segundo a tradição?;Carl Wilhelm Scheele
Qual o uso do oxigênio em sistemas de apoio à vida?;suporte respiratório
Qual a principal fonte de oxigênio nos organismos vivos?;água
