pergunta;resposta
I need to create varied and comprehensive questions that cover different aspects of force as discussed in the context. Each question should have one correct short answer (up to 10 words). The output should be a CSV with each line containing "pergunta;resposta".
I think these questions cover different aspects. Now, I'll structure them in the CSV format, ensuring each line follows "pergunta;resposta". Let me make sure there are exactly 10 lines and no repetition.
pergunta;resposta
O que é considerado uma força na física?;uma influência que altera o movimento de um objeto.
Qual lei relaciona a força, a massa e a aceleração?;a Lei de Newton número dois.
Forças que aumentam a velocidade de um objeto são conhecidas como?;empuxo.
Quais forças reduzem a velocidade de um objeto?;arrasto.
Qual éfeito rotacional é causado pelo torque?;acelerando a velocidade rotacional.
O que se chama da distribuição de pequenas forças sobre uma área?;pressão.
Que unidade mede força?;newton.
Qual conceito explica as forças internas em um corpo sólido?;estresse mecânico interno.
O que a forma original da Lei de Newton número dois afirma?;força é igual à taxa de mudança de momento.
Quais são os efeitos da força no movimento de um objeto?;acelerar ou desacelerar.
