pergunta;resposta  
Onde estavam concentrados os huguenotes?;sul e oeste da França  
Qual foi a proporção de huguenotes em 1572?;cerca de 10% da população  
Que evento marcou o fim das Guerras de Religião?;Edito de Nantes  
Quem liderou os huguenotes?;Jeanne d'Albret e Henrique IV  
Qual foi o termo original para os huguenotes?;escárnio  
Qual político suíço está ligado ao termo?;Hugues de Besançon  
Quando ocorreram as Guerras de Religião?;1562 a 1598  
Qual foi o destino dos huguenotes após o Edito de Fontainebleau?;forçados a converter-se ou fugir  
Quantos huguenotes restaram em 1685?;1.000 a 1.500  
Quando acabou a perseguição oficial?;Edito de Versailles, 1787
