pergunta;resposta
Qual é uma medida comum para avaliar a desigualdade econômica?;Índice de Gini
Que fator tem reduzido a desigualdade entre nações?;Globalização
Em que década a desigualdade entre nações atingiu seu pico?;Década de 1970
Qual tipo de desigualdade tem aumentado significativamente nas últimas 30 anos?;Desigualdade dentro das nações
Que conceito está relacionado à distribuição igualitária de benefícios?;Equidade
Qual é um efeito negativo da desigualdade econômica?;Instabilidade política
Que tipo de desigualdade reduz mais o crescimento econômico?;Desigualdade de terra e capital humano
Que políticas públicas ajudam a reduzir a desigualdade?;Impostos e transferências
Que percentual das economias avançadas tem maior desigualdade?;90 por cento
Que tipo de medida considera desigualdade no seu cálculo?;IDH ajustado à desigualdade
