```csv
subject,predicate,object
"http://dbpedia.org/resource/Marian_Holness","ns2:academicDiscipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Leonardo_Fea","ns2:academicDiscipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/William_Otis_Crosby","ns2:academicDiscipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Timothy_Eglinton","ns1:field","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Shen_Qihan","ns2:academicDiscipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Ruth_A._M._Schmidt","ns1:fields","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Wilhelm_Ramsay","ns1:field","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Sigurður_Þórarinsson","ns1:field","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Zeitschrift_für_Geologische_Wissenschaften","ns1:discipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Luca_Bindi","ns1:field","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Sandra_Postel","ns2:almaMater","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Maximilian_Kravkov","ns2:academicDiscipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Walter_Alvarez","ns1:field","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Paul_E._Olsen","ns1:field","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Peter_A._Rona","ns2:academicDiscipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/William_John_McGee","ns2:academicDiscipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Rupert_Sutherland","ns1:discipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Raymond_Thorsteinsson","ns1:field","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Rupert_Sutherland","ns1:discipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Luca_Bindi","ns1:field","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Sharon_Mosher","ns2:academicDiscipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Zeitschrift_für_Geologische_Wissenschaften","ns1:discipline","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Leonardo_Fea","ns1:fields","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Ruth_Blake","ns1:fields","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Marian_Holness","ns1:fields","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Shen_Qihan","ns1:fields","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Maximilian_Kravkov","ns1:fields","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Walter_Alvarez","ns1:fields","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Paul_E._Olsen","ns1:fields","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/Peter_A._Rona","ns1:fields","http://dbpedia.org/resource/Geology"
"http://dbpedia.org/resource/William_John_McGee","ns1:fields","http://dbpedia.org/resource/Geology"
