pergunta;resposta
The context says that a private school is not administered or funded by the government, unlike public schools. They are independent and usually have a board of governors. Private schools can be non-profit but are not owned by individuals; they rely on their own financial endowment.
pergunta;resposta
O que distingue uma escola privada de uma pública?;Fonte de financiamento.
Quem administra uma escola privada?;Conselho de governadores.
Uma escola privada é propriedade do governo?;Não.
Como as escolas privadas se financediam?;Recursos próprios ou patrimônio.
Todas as escolas privadas são lucrativas?;Nem todas.
Qual é a característica principal de uma escola privada?;Independência financeira.
Uma escola privada pode ter um conselho?;Sim, geralmente.
As escolas privadas dependem de fundos públicos?;Não.
Todas as escolas privadas são independentes?;Geralmente sim.
O que garante a independência operacional de uma escola privada?;Sistema de governança.
