```csv
Entidade,Tipo,Descrição,Localização,Características,Importância,Status,Referências
Floresta Amazônica,Ecossistema,Uma vasta floresta tropical na América do Sul,América do Sul,Alta biodiversidade,Regulação climática,Crítica
Rio Amazonas,Corpo d'água,O maior rio do mundo em volume de água,América do Sul,Transporte,Habitat,Crítico
Brasil,País,Um país sul-americano,América do Sul,Agricultura,Recursos naturais,Importante
Peru,País,Um país sul-americano,América do Sul,Arqueologia,Biodiversidade,Importante
Colômbia,País,Um país sul-americano,América do Sul,Culturas indígenas,Recursos naturais,Importante
Venezuela,País,Um país sul-americano,América do Sul,Petróleo,Biodiversidade,Importante
Equador,País,Um país sul-americano,América do Sul,Biodiversidade,Recursos naturais,Importante
Bolívia,País,Um país sul-americano,América do Sul,Recursos naturais,Culturas indígenas,Importante
Guiana,País,Um país sul-americano,América do Sul,Recursos naturais,Biodiversidade,Importante
Suriname,País,Um país sul-americano,América do Sul,Recursos naturais,Biodiversidade,Importante
Guiana Francesa,Território,Um território ultramarino francês,América do Sul,Recursos naturais,Biodiversidade,Importante
Índios Isolados da Amazônia,Grupo,Populações indígenas que vivem isoladas,América do Sul,Cultura,Recursos naturais,Crítico
Rio Negro,Rio,Um rio que deságua no Rio Amazonas,América do Sul,Transporte,Habitat,Importante
Rio Solimões,Rio,Um rio que deságua no Rio Amazonas,América do Sul,Transporte,Habitat,Importante
Cerrado Amazônico,Bioma,Uma zona de transição entre a floresta amazônica e o cerrado,América do Sul,Biodiversidade,Ecossistema,Importante
Taï National Park,Parque,Um parque nacional na Costa do Marfim,América do Sul,Biodiversidade,Conservação,Importante
Amantadu National Park,Parque,Um parque nacional na Guiana,América do Sul,Biodiversidade,Conservação,Importante
```
