ShipName,PowerType
VSS Vanderbilt,Steam engine
USS Wadena (SP-158),Steam engine
USS West Zula (ID-3501),Steam engine
USS Westfield (1861),Steam engine
USS Wild Goose (SP-562),Steam engine
USS Wyoming (1859),Steam engine
USS Venetia,Steam engine
USS Surf (SP-341),Steam engine
USS Standard Arrow (ID-1532),Steam engine
USS Sonoma (1862),Steam engine
USS Shenandoah (1862),Steam engine
USS Seneca (SP-427),Steam engine
USS Severn (1867),Steam engine
USS Roamer (SP-1047),Steam engine
USS Ripple (ID-2439),Steam engine
USS Rhode Island (1860),Steam engine
USS Remlik (SP-157),Steam engine
USS Preston (1865),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Preston (1865),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Piscataqua (AT-49),Steam engine
USS Patchogue (YFB-1227),Steam engine
USS Ranger (SP-237),Steam engine
USS Rehoboth (SP-384),Steam engine
USS R.W. Wilmot (SP-604),Steam engine
USS Piscataqua (AT-49),Steam engine
