pergunta;resposta
O que é a geologia?;Estudo da Terra e seus processos.
De onde vem a palavra "geologia"?;Do grego γῆ (gê) 'Terra' e λόγια (-logía) 'estudo'.
Qual o objetivo principal da geologia?;Entender estrutura e evolução da Terra.
Quais ciências estão ligadas à geologia?;Hidrologia e oceanografia.
Quais ferramentas são usadas na geologia?;Análises químicas e modelagem computacional.
Qual aplicação prática da geologia é importante?;Exploração de minerais.
O que a geologia determina sobre as rochas?;Sua idade relativa e absoluta.
Qual história a geologia descreve?;A história geológica da Terra.
A geologia é estudada apenas na Terra?;Não, inclui outros planetas rochosos.
Qual área da engenharia usa a geologia?;Geotecnia e地质工程.
