```csv
entityId,entityType,label,description
entityId:Yuan dynasty,entityType:WikicatFormerCountriesInEastAsia,label:WikicatFormerCountriesInEastAsia,description:
entityId:Yuan dynasty,entityType:WikicatMongolStates,label:WikicatMongolStates,description:
entityId:Yuan dynasty,entityType:WikicatStatesAndTerritoriesEstablishedIn1368,label:WikicatStatesAndTerritoriesEstablishedIn1368,description:
entityId:Yuan dynasty,entityType:YagoGeoEntity,label:YagoGeoEntity,description:
entityId:Yuan dynasty,entityType:YagoPermanentlyLocatedEntity,label:YagoPermanentlyLocatedEntity,description:
entityId:Yuan dynasty,entityType:Location,label:Location,description:
entityId:Yuan dynasty,entityType:Place,label:Place,description:
entityId:Yuan dynasty,entityType:schema.org/Place,label:schema.org/Place,description:
entityId:Yuan dynasty,entityType:umbel.org/umbel/rc/Location_Underspecified,label:umbel.org/umbel/rc/Location_Underspecified,description:
entityId:Yuan dynasty,entityType:umbel.org/umbel/rc/PopulatedPlace,label:umbel.org/umbel/rc/PopulatedPlace,description:
entityId:Yuan dynasty,entityType:Q6256,label:Q6256,description:
entityId:Yuan dynasty,entityType:WikicatFormerCountriesInEastAsia,label:WikicatFormerCountriesInEastAsia,description:
```
