<think>
Ok, I need to create 10 question and answer pairs in CSV format based on Southern California's context. Each pair should be relevant, with a short Portuguese answer.

First, I'll identify key aspects of SoCal from the given context: Los Angeles, ten counties, Colorado River, Baja California border, and parts of Arizona.

Then, for each aspect, formulate a clear question and a concise answer in Portuguese. Make sure to separate them with semicolons and format correctly.
</think>

```csv
pergunta;resposta
Qual é o nome da região que inclui Los Angeles?;Southern California
Qual é o maior distrito urbano dos EUA em populações?;Los Angeles metropolitan area
Em qual estado dos EUA está localizado Southern California?;California
Qual é a costa sul de Southern California?;Baja California
Quantos estados adjacentes tem Southern California?;Arizona, Mexico
Qual é a região noroeste de Southern California?;Neva
Quais são os três maiores municípios de Southern California?;Los Angeles, Riverside, San Bernardino
Em qual estado dos EUA está localizado a costa oeste de Southern California?;Arizona
O Colorado River divide Southern California com qual estado do noroeste?;Arizona
Qual é a região noroeste que compreende tenhanos e superbahis?;Baja California
```
