<think>
Ok, vou precisar ajudar este usuário a gerar um quiz baseado no texto sobre a Black Death. Primeiro, devo entender bem o que está sendo pedido.

O usuário quer 10 pares de perguntas e respostas no formato CSV, com ponto e vírgula como separador. Cada pergunta deve ser relevante ao contexto fornecido, e as respostas devem ser curtas, até 10 palavras.

Vou começar lendo atentamente o texto sobre a Black Death para identificar os principais pontos que podem virar perguntas. Vejo que menciona datas, causas, consequências, origem, vítimas etc.

Vou listar possíveis perguntas: datas do pânico, causa da doença, número de mortos na Europa, origem, como se espalhou, efeitos sociais, outros desafios após a pandemia, etc. Em seguida, para cada pergunta, vou formular uma resposta clara e curta baseada no texto.

Devo garantir que as perguntas variem entre diferentes aspectos da Black Death para cobrir vários tópicos. Também preciso evitar repetições e manter a claridade nas respostas.

Depois de estruturar todas as perguntas e respostas, vou organizá-las no formato CSV correto, separando cada par por ponto e vírgula e separando as linhas adequadamente.
</think>

```
pergunta;resposta
Qual foi o período da pandemia da Black Death?;1346 a 1353
Quanto de população mundial morreu durante a Black Death?;75-200 milhões
De onde surgiu a Black Death?;Ásia Central ou Oriental
Qual doença causou a Black Death?;Peste bubônica (Yersinia pestis)
Como se espalhou a Black Death na Europa?;Via navios genoéses e ratos negros
Qual foi o impacto social da Black Death?;Desordens religiosas e tumultos sociais
Quantas pessoas morreram na Europa?;30% a 60% da população
Qual forma da doença se espalhou rapidamente?;Pneumônica, via contato pessoal
Quais foram as consequências econômicas?;Subida de salários e queda da oferta de trabalho
Em que século a população europeia não recuperou o nível prévio?; XV (1500)
```
