pergunta;resposta
Qual é a definição de um número primo?;um número natural maior que 1 que não pode ser dividido por outro número natural diferente de 1 ou ele mesmo.
Como se verifica a natureza primária de um número?;por meio do processo de divisão, testando se há algum divisor menor do que o próprio número.
Quem são os primeiros números primos?;3, 5, 7, 11 e assim por diante.
O que é a teoria dos números primários?;uma área da matemática que estuda as propriedades e distribuição dos números primos.
Quais são alguns exemplos de números compostos?;4, 6, 8, 9, 10, 12, 15, 18, etc.
De onde vem o termo "primeiro" em relação a números primos?;do fato de que um número primo só tem exatamente dois divisores: 1 e ele mesmo.
O que é um divisor comum?;um número que divide dois ou mais números sem deixar resto.
Como se pode encontrar todos os divisores de um número?;dividi-lo por todas as possibilidades inteiras menores ou igual a sua raiz quadrática.
Existem infinitos números primos?;sim, conforme foi provado pelo matemático Euclides.
O que é o teorema fundamental da aritmética?;um resultado que afirma que todo número inteiro maior que 1 pode ser representado de maneira única como um produto de números primos.
Quais são algumas propriedades interessantes dos números primos?;são sempre ímpares, exceto 2; e a soma de seus dígitos raramente é prima.
