pergunta;resposta
O termo "huguenote" pode estar relacionado a qual político suíço?;Besançon Hugues
Onde os huguenotes estavam concentrados na França?;sul e oeste da França
Quando ocorreram as Guerras da Religião Francesa?;de 1562 a 1598
Qual tratado encerrou as Guerras da Religião?;o Edito de Nantes
Quem liderou os huguenotes?;Jeanne d'Albret, seu filho Henry IV e príncipes de Condé
Qual foi a redução na população huguenote sob Luís XIV?;de 900.000 para 1.000
O que foram as dragonnades?;perseguição forçada para conversão
Quando a perseguição aos huguenotes terminou?;com o Edito de Versalhes de 1787
O que o Edito de Nantes concedeu aos huguenotes?;autonomia religiosa, política e militar
Qual foi o impacto da emigração dos huguenotes?;dreno de talentos
