```csv
Subject,Entity,Type,Source,Confidence
"13th-century_establishments_in_China","Yuan Dynasty","Establishment","Wikipedia","0.95"
"14th_century_in_China","Yuan Dynasty","Era","Wikipedia","0.90"
"Borjigin","Kublai Khan","Person","Wikipedia","0.85"
"Kublai Khan","Yuan Dynasty","Leader","Wikipedia","0.92"
"Yuan Dynasty","China","Country","Wikipedia","0.98"
"Yuan Dynasty","Mongolia","Country","Wikipedia","0.96"
"Yuan Dynasty","China","Historical Period","Wikipedia","0.97"
"Yuan Dynasty","Mongolia","Historical Period","Wikipedia","0.94"
"Yuan Dynasty","China","Empire","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Empire","Wikipedia","0.97"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.96"
"Yuan Dynasty","China","State","Wikipedia","0.98"
"Yuan Dynasty","Mongolia","State","Wikipedia","0.94"
"Yuan Dynasty","China","Historical Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical State","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Historical Region","Wikipedia","0.92"
"Yuan Dynasty","China","Historical Period","Wikipedia","0.98"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.90"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Era","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Historical Region","Wikipedia","0.92"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.97"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","China","Historical Era","Wikipedia","0.97"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.97"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.97"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.97"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.97"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.97"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.97"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.97"
"Yuan Dynasty","China","Historical Region","Wikipedia","0.95"
"Yuan Dynasty","Mongolia","Dynasty","Wikipedia","0.97"
"Yuan Dynasty","China","Dynasty","Wikipedia","0.99"
"Yuan Dynasty","Mongolia","Historical Era","Wikipedia","0.97"
